symbol,source,headline,link,published_at,sentiment,confidence
ADANIPORTS.NS,Google News,Stocks to buy or sell: Dharmesh Shah of ICICI Sec suggests buying Adani Ports shares on 24 November 2025 - livemint.com,https://news.google.com/rss/articles/CBMigwJBVV95cUxQclROend5d21saWR4SU16Vlh4d3JocEVkcmJGOTA5WlJoS3I0NlMzdG9JMm5MbWJTc1N0WEJxczNnbkh2NGpmYm9wblRGMnY5Sm9BNHY4dGFyanBDcFhuWHhEYTF5b21vQXl1TVVhRGlFeGJiYU42aVpoV0ozQ0JtanJveHBrOF90bjZPRkprQko5MDJmOW1KUzYyY2NrV0dEd1gwdDI4SklubkcyenlicnFBb1JpYi1abGxWaWU1ZmkxM20zNnN0UmpEY2lkU3dzWnF5NFBheXNPVl9KcWw3aWpCY0J3SmlVdXN3MmUxQk56VW43NjFNT2trZ3pnMXB3NUxV0gGIAkFVX3lxTE5IZVZzdVFpUWRId2w3cVBVMzJKd0Y2STU0dHo2Y0RKdTJ0ZEozSldJRWotSlJlQVRneFVUREJ2X3dHalZ4NFF2OFNta21aSTF0WXlYTkRoamRya0JfZ2dLOGpGd0JnRFJKZTdjVFhYaTQ3OWxFcVhEUDZjU1ZpVFp0NE5EN1UyZlJwVktwNlRMdUNPbE5rVTIzcmVmRVJIcEZkMlgzT0RUeGgzbHMtU1c5a1k4VlNQZlgtWnhYZXQ1QWFPZ2RhaFFLWWtGNkExLThmd2ZtUWJxSWRnSFk2Vms3dzRnODlqV2x3WHpKc2xJZXJqeVEyNHZrU21JSG5tSm4xXzF4eUdyRQ?oc=5,2025-11-23 01:18:27,neutral,0.9366087317466736
ADANIPORTS.NS,Google News,Is Now the Best Entry Point for Adani Ports and Special Economic Zone Limited Stock - Stop Loss Placement Tips & Build a Smarter Portfolio Right Now - earlytimes.in,https://news.google.com/rss/articles/CBMinwFBVV95cUxNbzBzN2JKQ1dacWZJdzR5ZGRrNXFpU3d4d3BiY19SRHVKUVdjS0I5VTczUGFjUWNGWUFkbGNxcXdoMUhib2UzdFBfSThTaVI0T1g5YURYMWN3bDVWOXVnU1ozUWx3OC1WcnpOSFhKcG9Bb2x4ek81bVlyUFAwd0VvLVFCY2JqT1kzUXkwYnFPM0JpQnZWZ2RKODVYcVloMWs?oc=5,2025-11-23 11:12:03,positive,0.5071374773979187
ADANIPORTS.NS,Google News,Has Adani Ports and Special Economic Zone Limited Stock Bottomed Out Recovery Potential Reviewed - Market Correction Analysis & Low Investment Wealth Tips - earlytimes.in,https://news.google.com/rss/articles/CBMiugFBVV95cUxOTUh0a3RUYXh6a0xDNHN4WjBvVTE2QlpSWnZsa1BhN2ZPakhCMFdKdXFPZUZVWE9IeWUzVGQtdFhnWmNJVWtLR25jQVpUX0Jna01IWmZpcW1kMlFNbTA3a3kzcmlYSm9ZLXJRd19hWUFZMTFyWHpGa2hXUS03N1dxN3hNZzNHYmpfbjhVVkRUaW9Oekp6NE5xaFdzMF9nU2hWTUhYUzBZYWgyZV9KOXhCQ1FidVc5MWJ4U0E?oc=5,2025-11-23 02:59:01,neutral,0.8279549479484558
AXISBANK.NS,Google News,Axis Bank Sees Significant Open Interest Surge Amid Narrow Trading Range - Markets Mojo,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPYlhoSnRhYzBYY3BCejZsWWxNWTR0T1NjSG00VEt0VTVNS051Z2FDRnBVcUtMSlc1cXVsYjd6TWIySFJtTWVpR0YzMUx4N2hJZmd4cjBNYVlWcnE5aEFWdGlLWnZRZHl5d2tHU0owNHcwaEdtNVctUk1BY2VuY1RGR040ZGFwem5QUXo1VDJaTzcwR2hRczgxNjg0R0laeWdhVUowWG9WbVpyejd1UWFPM3JhYk5NWUFNbU0xZXB6R2NPdw?oc=5,2025-11-23 00:30:54,positive,0.9499354362487793
AXISBANK.NS,Google News,Axis Bank Sees Notable Surge in Derivatives Open Interest Amid Market Activity - Markets Mojo,https://news.google.com/rss/articles/CBMiygFBVV95cUxQaXA4QnBiTXlzQTI4LXdpQkZQS2Y5VGxfV19lMmdGbTBGcGNIR2hocDllZEFmMGVYRXdSZnIxTEV1bjNJc2EyZTl2TTZpNDEzb204Tm9sY01RaHBySW92a2p5X2xCQ2Mzdmc5VHUwTGV2T0ZKZllLOURwenFPWUVJV0JoUWZWSTU1dUV2QXE2QzFkd29iM1VIcXE3WmlYVHRLRlVKb1BsYmVtdDFrbFljemw5TnJIU1lQaTduLUJpU1VSQXlBUVBaTkpn?oc=5,2025-11-22 16:00:34,positive,0.9500731229782104
BAJFINANCE.NS,Google News,"Nifty near resistance, Bank Nifty losing momentum: Rupak De's gameplan and top stock picks - The Economic Times",https://news.google.com/rss/articles/CBMi-AFBVV95cUxQNEhsQUNPTERyaUFpdEFVZ1VrNkJWRmM3clZLNERVX21nMkJRWmFHSHRhb25oSlgxR3Y0OU9GSkVzcHBRbV9hT2xaQVBsTk1jSU5XUnlXQmpjdEVOeWl2enVNQzhsU0xabUtsZDhDZ3pPRUtqU0p1OGZsMVNnLVJLR0JzbUxwbFJ1Y3A4OTFMTVNnSnlaX3pnWE9xUWRfLVkzTE5TLWlGWHlET2U4UlQtdnkxdWdoVGY2UHliS2JvVDJCZzZVdXRSWTlGcVY2R2ZYdTNGTVlmRW9TMGI4Ql9ZMUFUb1h5bG9UWnI3bG5WejdUMnhuTVZTZ9IB-AFBVV95cUxQNEhsQUNPTERyaUFpdEFVZ1VrNkJWRmM3clZLNERVX21nMkJRWmFHSHRhb25oSlgxR3Y0OU9GSkVzcHBRbV9hT2xaQVBsTk1jSU5XUnlXQmpjdEVOeWl2enVNQzhsU0xabUtsZDhDZ3pPRUtqU0p1OGZsMVNnLVJLR0JzbUxwbFJ1Y3A4OTFMTVNnSnlaX3pnWE9xUWRfLVkzTE5TLWlGWHlET2U4UlQtdnkxdWdoVGY2UHliS2JvVDJCZzZVdXRSWTlGcVY2R2ZYdTNGTVlmRW9TMGI4Ql9ZMUFUb1h5bG9UWnI3bG5WejdUMnhuTVZTZw?oc=5,2025-11-23 08:30:00,neutral,0.6173551678657532
BHARTIARTL.NS,Google News,"Market capitalisation of 7 of top-10 most valued firms jumps by ₹1.28 lakh crore; RIL, Bharti Airtel biggest gainers - livemint.com",https://news.google.com/rss/articles/CBMikAJBVV95cUxNXzY5Qjh2X29kWk1WdGxrbzVTT0djM3dJcnhXc0k5azFFWkVzM25ZaC16WGNNZVFWa0FPVGpuTU1kVWRmV1VfelE2Zk82YlF6N0U1bGtZMlQzNGpIeGNwd2pFVFdPem9UNWZwbUdjRXFqc3BjSnVfYjQ3akhLOU93SE85WVBOd3ZQRzUxSm93Mk9WY2l5TDhkcFZ0NnQ4bXQ1TzQ0MEh2UzdsUE93d0ZIVG1jbzI4X2ZnOFd1THV0VXNWanU0UDhqdXExS052LUNJMENlS1B4a2c3LXF1b1hXT1U0NmxpRjY2bTZmc19rXzhZSngyeDFGYmxVU0R1d0JQeFQ0Mk9xdmxVd2R1N01QNdIBlgJBVV95cUxPVWRFSTlNQzNnbTZCVXJhNGFxUnpJa0tSRzRnNmZGSEdOZS14T1RudDFWMHllQklHdHNvVndDVDZiZ09JajRhWjVjN09ZT2xkMWZuWE8ycTFLSk1sMl9SWktQR3NJVmdUSGZFcEtCQndfMmQ1R3BHZHExY1czMUd2aXVSLUNGMTVJeGpzcFpzdDlVN0FmZ0FMQlE0a2Q2dFJNN0NXY282c085empuSVViLUNqb3k4Sm95TXl4WUdnazBDV2tYUHpXekxVTFNua0JPaGhfU0FHdnM1OFU5U0dyM2w5TG84QU5BVVJKWDFIXzNFdFZza2h0S2Q0Yy0yMFZsLWJHOXpNOEQ3dFRiNWU5WVRoNTlJUQ?oc=5,2025-11-23 08:08:56,positive,0.9151818156242371
BHARTIARTL.NS,Google News,"Bharti Airtel Hits New 52-Week High of Rs.2171, Marking Significant Market Milestone - Markets Mojo",https://news.google.com/rss/articles/CBMizgFBVV95cUxOSk9KTS1uMXlSdml5T2JyMEg1MDFvaUZzQ0xMUTVlSUNrMW5nWEFTUXFVdTlRVjNrUklzZGd2ZXZEbTJHQnhfZzhjQkVKSzVoOVdrU3lOWjBfQW1hWC1DY0l2OHdCd2s2dFFFdU9rM0RrZjFvbVhsaEZ6YzgwN2lDU0tIeDR3N21DSW5CaUhOR1Y2OW02bVJ5RTVLTW5qY2NzLXZkUmJyY0lnQ0lRNFRaU0xfOGR3Vnp4bTBkRHVTWF96Z0NDQ2I4V2JZYkJ0dw?oc=5,2025-11-23 03:22:59,positive,0.9344212412834167
BHARTIARTL.NS,Google News,​Top picks: 3 stocks to buy this week that can give returns of up to 11% in short term. Do you own any?​ - The Economic Times,https://news.google.com/rss/articles/CBMikgJBVV95cUxOZXJSVFl4NTZuZTVvbjBwUFZuNmV3OWlNYWN2YjR2MlBXMEN1Vk9QZ3RFd0ZWTVd5d3Bka2RsME5rTnEwZjJLbGdBODI2UlNPXzU3WmJFeFZVUGNaaWlTamJma3l4T1F6WFJpbE9nMWd2R1FTV1B6WWp2eE54b3h2VEJBY1JDRkI1c3hNaTJBUUlqbko0d0h0NF92OVhHM2pacXhRVGg4U21hUjAxbnRKTC1IRjNCcEZudlZsaWxFVzB6NVd5djRac1EtN1d3WXFsa1B0eWluWGxXdDFGb05QNDhNdFZfaXBDM2VPZU9uZnF3bXV5czJkZm5Vdm93QXh4M3BkTGNycVdaOE5kY1ZPLWxn?oc=5,2025-11-23 06:37:54,neutral,0.8969489336013794
BHARTIARTL.NS,Google News,Telecom Stock: Will Bharti Airtel be able to maintain robust earnings growth over the next 24 months? - Trade Brains,https://news.google.com/rss/articles/CBMiwAFBVV95cUxON3hqRUpMMFhnNUNXand6endmaElXMEVhaGhET19rZnhydjFJbmxIc3hvOHBLRlllRzFTQnRtM1AzMUUyWlBIdGpxb0dITGUzRktKb0xQMUlxR2phcEVFVm5aeUFOUF9ybExVeVJjMXk1WWhnajdPdXNzUVJYZE9xTXR5MzZaVG9sQ1VocmJGLURaNGNid2FCRW1DX1duOFJhX0Y5bGRTanlacmtYZ24td2N2blhVTndSRVJ6NXZMb2E?oc=5,2025-11-23 10:30:00,positive,0.8622052073478699
